,trade_date,ts_code,CON_YEAR,CON_OR,CON_NP,CON_EPS,CON_NA,CON_PB,CON_PS,CON_PE,CON_PEG,CON_ROE,CON_OR_YOY,CON_NP_YOY,CON_NPCGRATE_2Y,CON_PEI,trade_year,profit,year_profit,year_pe_ttm,year_profit_l1,year_profit_yoy,code_name,close,pe_ttm_weight,pe_ttm_equal,pb_ttm_weight,pb_ttm_equal,div_rate,roe,profit_avg,mv_avg,float_mv,total_mv,total_mv_l1,total_mv_chg,close_l1,close_chg,img_neg,tex_neg,riskfree_return,opt_profit_yoy,opt_pe,opt_profit,time,close_chg_s,CEFD,RIPO,NIPO,TURN,TURN_MA,trade_month,SR,lnPD,c_yoy,p_yoy,n,l1_TURN,SENT_INDEX,CEFD_R,NIPO_R,RIPO_R,SR_R,l1_TURN_R,lnPD_R,SENT_INDEX_R,SENT_INDEX_EX,SENT_INDEX_DEX,SENT_INDEX_R_EX,SENT_INDEX_R_DEX
7,20140102,000985.SH,2014,3034891792.7121,27421.67840266,0.6857,2017384577.7964,1.3334,0.8863,9.8095,0.5591,13.59,12.28,16.08,17.544,85.9924,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2900.63,12.03,44.11,1.58,2.66,2.2763,13.22,9.65,116.0,189925.12,26.065728,260343.88,0.12037924609558104,2893.21,0.25646254506239696,0.0,0.0,0.015460277777777778,116.48980196394412,-38.38253768844221,15.27981348960318,1.0,0.06577303701988199,-10.488421052631578,0.0,0.0,0.00227,-0.003804933333333343,201401,24.67,-0.3537,4.07,2.93,968.0,0.0026599999982863665,-0.9327152967453003,-1.8534510135650635,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.003943250514566898,-0.20850010216236115,-1.1919050216674805,-0.5719802270834398,-0.5884952161555574,-0.43541214021687147,-0.45104615557254785
18,20140103,000985.SH,2014,3033876413.6519,27421.60120877,0.6857,2017583554.4131,1.3213,0.8787,9.7214,0.5541,13.59,12.27,16.08,17.5438,85.9928,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2874.32,11.9,43.83,1.57,2.62,2.2981,13.22,9.7,115.37,188023.79,25.820532,260657.28,-0.9406834905973049,2900.63,-0.9070443317486188,0.0,0.333333,0.015461388888888887,116.48980196394412,-38.93592964824121,15.279488969086566,2.0,0.8227294197572984,-10.246842105263157,0.0,0.0,0.00279,-0.0032788333333333437,201401,24.67,-0.3537,4.07,2.93,969.0,0.0022700000554323196,-0.9280306696891785,-1.6118720769882202,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.004333250690251589,-0.20850010216236115,-1.1826040744781494,-0.598652173173662,-0.5888302773169753,-0.5026786570510179,-0.4529298074777042
29,20140106,000985.SH,2014,3033344611.7976,27412.012059859997,0.6854,2027389464.6988,1.2895,0.8619,9.5373,0.5443,13.52,12.23,16.04,17.5233,85.963,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2803.29,11.67,42.41,1.54,2.52,2.3463,13.22,9.7,113.19,184445.48,25.332787,258205.32,-1.8889812185124644,2874.32,-2.4711931865623926,0.285714,0.142857,0.01548111111111111,115.95127011826267,-40.09233668341709,15.239176509665336,3.0,6.106795765312392,-10.246842105263157,0.0,0.0,0.00296,-0.0031028000000000097,201401,24.67,-0.3537,4.07,2.93,970.0,0.00279000005684793,-0.9177023768424988,-1.6118720769882202,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.003813250456005335,-0.20850010216236115,-1.1753543615341187,-0.6230056842159214,-0.5895093013446401,-0.5631368790102582,-0.4558630622495945
40,20140107,000985.SH,2014,3028545642.2246,27384.60809636,0.6846,2027386417.8429,1.2917,0.8647,9.5629,0.5476,13.51,12.2,15.92,17.4645,85.7478,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2814.1,11.7,43.2,1.54,2.54,2.3377,13.21,9.68,113.23,184926.52,25.396404999999998,253327.87,0.25112910000781863,2803.29,0.3856183270371627,0.0,0.333333,0.015488888888888887,114.33567458121831,-39.931532663316574,15.123971169030566,4.0,0.14870149414694017,-10.246842105263157,0.0,0.0,0.00209,-0.003966266666666676,201401,24.67,-0.3537,4.07,2.93,971.0,0.002959999954327941,-0.9143257737159729,-1.6118720769882202,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.003643250558525324,-0.20850010216236115,-1.17298424243927,-0.6447949000691808,-0.5905052106955756,-0.6175745857014068,-0.4597532976058868
51,20140108,000985.SH,2014,3028892263.4213,27355.54700319,0.6838,2028490218.32,1.2935,0.8663,9.592,0.5512,13.49,12.14,15.92,17.4022,85.657,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2825.82,11.71,43.57,1.54,2.56,2.34,13.21,9.67,113.19,184835.34,25.365345,253964.05,-0.12230077445999354,2814.1,0.416474183575577,0.333333,0.0,0.015505833333333332,114.33567458121831,-39.74874371859296,15.001799311011965,5.0,0.1734507455849434,-10.246842105263157,0.0,0.0,0.00237,-0.0036801083333333436,201401,24.67,-0.3537,4.07,2.93,972.0,0.002090000081807375,-0.9316058158874512,-1.6118720769882202,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.0045132506638765335,-0.20850010216236115,-1.185113549232483,-0.6647234114232234,-0.5918153367004054,-0.6669610028652597,-0.46453778263285855
62,20140109,000985.SH,2014,3029683380.4717,27368.74421973,0.684,2028756768.7396,1.2805,0.8574,9.4917,0.5445,13.49,12.14,15.93,17.4305,85.6983,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2793.5,11.59,42.97,1.53,2.5,2.3641,13.21,9.67,112.07,183037.0,25.115793,253653.45,-0.9838304978702306,2825.82,-1.1437388085582256,0.0,0.333333,0.015510277777777779,114.4703075426387,-40.378768844221106,15.057279965367739,6.0,1.3081384622021894,-10.246842105263157,0.0,0.0,0.00251,-0.003529250000000009,201401,24.67,-0.3537,4.07,2.93,973.0,0.002369999885559082,-0.9260444641113281,-1.6118720769882202,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.004233250860124826,-0.20850010216236115,-1.181209921836853,-0.6844561008758214,-0.5934114199732555,-0.7130345586613592,-0.4701306779350088
73,20140110,000985.SH,2014,3031226437.581,27444.970620609998,0.6854,2029806767.7735,1.2687,0.8495,9.383,0.5333,13.52,12.18,16.16,17.5939,85.9369,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2758.99,11.46,41.89,1.51,2.46,2.3929,13.21,9.7,111.08,181071.6,24.826662,251157.93,-1.1511920009851906,2793.5,-1.23536781814928,0.333333,0.0,0.01551138888888889,117.56686565530705,-41.06155778894473,15.37773319027236,7.0,1.5261336461189126,-8.641578947368421,0.0,0.0,0.0025,-0.0035267583333333428,201401,24.67,-0.3537,4.07,2.93,974.0,0.0025100000202655792,-0.8406619429588318,-0.006608876399695873,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.004093250725418329,-0.20850010216236115,-1.0813242197036743,-0.7023186053622371,-0.5951779179428139,-0.7546641981736156,-0.4762922203193469
84,20140113,000985.SH,2014,3028303196.5947,27573.76083613,0.6882,2030955605.1034,1.2674,0.85,9.335,0.5224,13.58,12.01,16.84,17.8695,86.3322,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2748.42,11.47,41.84,1.51,2.47,2.3884,13.2,9.71,111.31,181021.95,24.855739,248266.62,0.11712005423847316,2758.99,-0.3831112109866197,0.142857,0.285714,0.015513611111111112,126.72190703189175,-41.363065326633155,15.919162923581155,8.0,0.14677419998363425,-8.641578947368421,0.0,0.0,0.00219,-0.0038227000000000087,201401,24.67,-0.3537,4.07,2.93,975.0,0.0024999999441206455,-0.8408605456352234,-0.006608876399695873,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.004103250801563263,-0.20850010216236115,-1.0814636945724487,-0.7125474030385389,-0.5971019063808797,-0.7837104488074083,-0.4829669989584728
95,20140114,000985.SH,2014,3029744855.1167,27572.641111409997,0.6882,2031493918.8938,1.282,0.8596,9.4454,0.5286,13.57,12.06,16.84,17.8671,86.3293,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2788.85,11.61,42.76,1.53,2.53,2.3506,13.21,9.71,112.68,183421.61,25.184142,248557.39,1.321236113720059,2748.42,1.4710269900524597,0.333333,0.666667,0.015518055555555556,126.72190703189175,-40.66959798994975,15.914455638527839,9.0,2.1639204054627994,-8.641578947368421,0.0,0.0,0.00232,-0.0036791166666666755,201401,24.67,-0.3537,4.07,2.93,976.0,0.0021899999119341373,-0.8470178246498108,-0.006608876399695873,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.004413250833749771,-0.20850010216236115,-1.0857856273651123,-0.7220345904783787,-0.5991777640328908,-0.8101863406628209,-0.49011012261727704
106,20140115,000985.SH,2014,3028766604.2461,27575.802923000003,0.6884,2031575198.3573,1.283,0.8606,9.452,0.5288,13.57,12.03,16.83,17.8739,86.3389,2014,5944.98,23787.059999999998,15.92,22142.41,7.427601602535572,中证全A,2797.39,11.63,43.54,1.53,2.55,2.3449,13.21,9.7,112.75,183603.4,25.212,251841.42,0.11061722888949799,2788.85,0.3062194094340054,0.333333,0.0,0.015512777777777778,126.58727407047137,-40.62814070351759,15.927747788083124,10.0,0.09377032671411102,-8.641578947368421,0.0,0.0,0.00223,-0.003752550000000008,201401,24.67,-0.3537,4.07,2.93,977.0,0.002319999970495701,-0.8444357514381409,-0.006608876399695873,-0.9932002425193787,-0.42909911274909973,15.745779991149902,-0.004283250775188208,-0.20850010216236115,-1.0839731693267822,-0.7312755719197639,-0.6013903449422485,-0.8346923267903966,-0.497669316939738
